city,source,emission,metric,domain,value
Guadalajara,railways,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,railways,PM2_5,population,total,1.517894060535406e+08
Guadalajara,railways,PM2_5,exposure,city,1.8108009209403635
Guadalajara,railways,PM2_5,exposure,total,0.025782962930386073
Guadalajara,railways,PM2_5,iF,city,12.047862801346799
Guadalajara,railways,PM2_5,iF,total,21.426853946533065
Guadalajara,railways,NH3,population,city,1.2152207681383276e+06
Guadalajara,railways,NH3,population,total,1.517894060535406e+08
Guadalajara,railways,NH3,exposure,city,0.36071285552842886
Guadalajara,railways,NH3,exposure,total,0.005357866222176536
Guadalajara,railways,NH3,iF,city,2.3999429997151323
Guadalajara,railways,NH3,iF,total,4.452638640392308
Guadalajara,railways,NOx,population,city,1.2152207681383276e+06
Guadalajara,railways,NOx,population,total,1.517894060535406e+08
Guadalajara,railways,NOx,exposure,city,0.13868610529598924
Guadalajara,railways,NOx,exposure,total,0.002105644365998061
Guadalajara,railways,NOx,iF,city,0.9227249388582801
Guadalajara,railways,NOx,iF,total,1.7498894295196927
Guadalajara,railways,SOx,population,city,1.2152207681383276e+06
Guadalajara,railways,SOx,population,total,1.517894060535406e+08
Guadalajara,railways,SOx,exposure,city,1.0605776086837202
Guadalajara,railways,SOx,exposure,total,0.015804239320143614
Guadalajara,railways,SOx,iF,city,7.056376751214803
Guadalajara,railways,SOx,iF,total,13.134065644941046
Guadalajara,railways,VOC,population,city,1.2152207681383276e+06
Guadalajara,railways,VOC,population,total,1.517894060535406e+08
Guadalajara,railways,VOC,exposure,city,0.05258558030505916
Guadalajara,railways,VOC,exposure,total,0.0007985441216159018
Guadalajara,railways,VOC,iF,city,0.3498694138699426
Guadalajara,railways,VOC,iF,total,0.6636276951537415
Guadalajara,electric_gen_egugrid,PM2_5,population,city,1.303940371446263e+06
Guadalajara,electric_gen_egugrid,PM2_5,population,total,1.6405520971053034e+08
Guadalajara,electric_gen_egugrid,PM2_5,exposure,city,0.0015735036569087277
Guadalajara,electric_gen_egugrid,PM2_5,exposure,total,0.006300055133816312
Guadalajara,electric_gen_egugrid,PM2_5,iF,city,0.011233358312167367
Guadalajara,electric_gen_egugrid,PM2_5,iF,total,5.658723842259607
Guadalajara,electric_gen_egugrid,NH3,population,city,1.303940371446263e+06
Guadalajara,electric_gen_egugrid,NH3,population,total,1.6405520971053034e+08
Guadalajara,electric_gen_egugrid,NH3,exposure,city,0.0007070975052951585
Guadalajara,electric_gen_egugrid,NH3,exposure,total,0.0029352178319017566
Guadalajara,electric_gen_egugrid,NH3,iF,city,0.00504802108577554
Guadalajara,electric_gen_egugrid,NH3,iF,total,2.636419328849051
Guadalajara,electric_gen_egugrid,NOx,population,city,1.303940371446263e+06
Guadalajara,electric_gen_egugrid,NOx,population,total,1.6405520971053034e+08
Guadalajara,electric_gen_egugrid,NOx,exposure,city,0.0005905640717537386
Guadalajara,electric_gen_egugrid,NOx,exposure,total,0.0010261277026972502
Guadalajara,electric_gen_egugrid,NOx,iF,city,0.004216080334592497
Guadalajara,electric_gen_egugrid,NOx,iF,total,0.9216702351204071
Guadalajara,electric_gen_egugrid,SOx,population,city,1.303940371446263e+06
Guadalajara,electric_gen_egugrid,SOx,population,total,1.6405520971053034e+08
Guadalajara,electric_gen_egugrid,SOx,exposure,city,0.0010461492066047595
Guadalajara,electric_gen_egugrid,SOx,exposure,total,0.003977166397691212
Guadalajara,electric_gen_egugrid,SOx,iF,city,0.007468536113140118
Guadalajara,electric_gen_egugrid,SOx,iF,total,3.5722998991623127
Guadalajara,electric_gen_egugrid,VOC,population,city,1.303940371446263e+06
Guadalajara,electric_gen_egugrid,VOC,population,total,1.6405520971053034e+08
Guadalajara,electric_gen_egugrid,VOC,exposure,city,0.00011597696158882223
Guadalajara,electric_gen_egugrid,VOC,exposure,total,0.00031263226091951687
Guadalajara,electric_gen_egugrid,VOC,iF,city,0.0008279680569940246
Guadalajara,electric_gen_egugrid,VOC,iF,total,0.2808070074226715
Guadalajara,population_gpw,PM2_5,population,city,1.2152207681383276e+06
Guadalajara,population_gpw,PM2_5,population,total,1.5178940125320894e+08
Guadalajara,population_gpw,PM2_5,exposure,city,2.0150933279371355
